asset_id,view,resolution,condition,clean_to_perturbed_chamfer
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_000,192,blur_high,0.06570965950834529
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_090,192,blur_high,0.06394828586191326
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_180,192,blur_high,0.04729619593584124
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_270,192,blur_high,0.06184719157264908
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_000,192,blur_high,0.07556442988512749
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_090,192,blur_high,0.06754695172184023
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_180,192,blur_high,0.07081631571783661
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_270,192,blur_high,0.06076326119203602
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_000,192,jpeg_70,0.045452487494996904
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_090,192,jpeg_70,0.030896898920304425
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_180,192,jpeg_70,0.011516002754224016
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_270,192,jpeg_70,0.027876266611437897
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_000,192,jpeg_70,0.029590223279170647
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_090,192,jpeg_70,0.01886147672385075
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_180,192,jpeg_70,0.01308571244719
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_270,192,jpeg_70,0.013306063902841848
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_000,192,jpeg_70,0.04614536150675013
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_090,192,jpeg_70,0.01615965016238685
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_180,192,jpeg_70,0.03800449607199383
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_270,192,jpeg_70,0.021943029067535168
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_000,192,jpeg_70,0.0157122914790179
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_090,192,jpeg_70,0.01032211129622122
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_180,192,jpeg_70,0.010476713108124697
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_270,192,jpeg_70,0.00944399790162484
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_000,192,jpeg_35,0.015883096946318877
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_090,192,jpeg_35,0.04340241215621106
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_180,192,jpeg_35,0.014485567877324279
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_270,192,jpeg_35,0.05079814992850979
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_000,192,jpeg_35,0.04681823347891285
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_090,192,jpeg_35,0.028567132832718473
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_180,192,jpeg_35,0.018863852019338684
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_270,192,jpeg_35,0.01825859712449028
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_000,192,jpeg_35,0.055142475493191026
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_090,192,jpeg_35,0.019510513100880037
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_180,192,jpeg_35,0.03284934264948343
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_270,192,jpeg_35,0.02613642679273637
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_000,192,jpeg_35,0.02377975502768706
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_090,192,jpeg_35,0.014512022029623348
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_180,192,jpeg_35,0.011149200543418194
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_270,192,jpeg_35,0.010332074680437113
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_000,192,occlusion_15,0.06753718665871493
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_090,192,occlusion_15,0.07538937208798178
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_180,192,occlusion_15,0.03765330083661035
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_270,192,occlusion_15,0.07784186241961534
